flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
0,0.0,0.000000000,0,1,0,0,,,,,45:00:00:58:58:81,64:ef:aa:ae:08:00,,,102,102.0,102,0.0,102,102.0,102,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
1,0.0,0.000000000,0,1,0,0,,,,,45:00:00:38:00:00,64:ef:aa:ae:08:00,,,70,70.0,70,0.0,70,70.0,70,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
2,0.0,0.000000000,0,1,0,0,,,,,46:c0:00:20:00:00,20:66:b8:ea:08:00,,,46,46.0,46,0.0,46,46.0,46,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
3,0.0,0.000000000,0,1,0,0,,,,,45:00:00:58:32:0b,64:ef:aa:ae:08:00,,,102,102.0,102,0.0,102,102.0,102,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
4,0.0,0.000000000,0,1,0,0,,,,,45:00:00:38:5a:fa,64:ef:aa:ae:08:00,,,70,70.0,70,0.0,70,70.0,70,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
5,0.0,0.000000000,0,1,0,0,,,,,45:00:00:38:1c:26,64:ef:aa:ae:08:00,,,70,70.0,70,0.0,70,70.0,70,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
6,0.0,0.000000000,0,1,0,0,,,,,46:c0:00:20:00:00,fd:18:40:2f:08:00,,,46,46.0,46,0.0,46,46.0,46,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
7,187700683.0724715,1126204098.434829000,0,0,5,0,55804,1032,192.168.20.106,89.8.43.27,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,122,122.0,122,238144.0,999999,0,0,0,0.0,11.477333999999999,30.716675,47.17982082555694,9999,0,0,0,eth:ethertype:ip:tcp:bittorrent,5,0
8,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:c0:3b,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
9,225240819.3029724,1126204096.514862000,0,0,4,0,37518,23981,192.168.20.106,77.219.2.14,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,26244.0,999999,0,0,0,0.0,20.266651250000002,46.079777,63.14732461389943,9999,0,0,0,eth:ethertype:ip:tcp,4,0
10,375401360.66933864,1126204082.008016000,0,0,2,0,53364,6881,192.168.20.106,62.44.138.47,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,122,122.0,122,14884.0,999999,0,0,0,0.0,18.7732325,37.546465,26.549360011083365,9999,0,0,0,eth:ethertype:ip:tcp:bittorrent,2,0
11,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:14:2e,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
12,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:cb:86,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
13,281551023.06203973,1126204092.248159000,0,0,3,0,59314,43913,192.168.20.106,89.8.51.118,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,122,122.0,122,59536.0,999999,0,0,0,0.0,23.324440666666664,46.08003,50.30084279981084,9999,0,0,0,eth:ethertype:ip:tcp:bittorrent,3,0
14,23961789.359552637,1126204099.898974000,0,0,46,0,50992,27914,192.168.20.106,101.188.90.232,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,58.30434782608695,71,1645352.3478260862,54,1494.4782608695652,2958,1081518021.5652173,0.0,0.1327589565217391,2.25766,2.959407901335157,-8.8e-05,0.13865278260869562,0.796982,3.0610068594296247,eth:ethertype:ip:tcp:data,23,23
15,0.0,0.000000000,0,1,0,0,,,,,45:00:00:34:d2:99,64:ef:aa:ae:08:00,,,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
16,375401364.0816393,1126204092.244918000,0,0,2,0,58452,31378,192.168.20.106,197.210.64.5,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,2916.0,999999,0,0,0,0.0,29.0116785,58.023357,41.02870920190793,9999,0,0,0,eth:ethertype:ip:tcp,2,0
17,187700683.33026183,1126204099.981571000,0,0,5,0,53292,9956,192.168.20.106,197.210.47.174,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,46656.0,999999,0,0,0,0.0,9.7386598,26.239941,40.04255465454441,9999,0,0,0,eth:ethertype:ip:tcp,5,0
18,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:34:c9,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
19,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:91:b6,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
20,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:b1:10,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
21,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:9f:08,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
22,1395544.1139383616,1126204099.948258000,0,0,806,0,12412,35860,102.182.125.105,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,,,54,1031.9364303178484,1514,177266781256.3718,54,58.8992443324937,177,544013776.5188922,0.0,0.2182126405867971,0.810198,89.03090968826747,5e-06,0.0254027934508816,0.389772,10.059759452120414,eth:ethertype:ip:tcp:data,409,397
23,10332147.594936257,1126204087.848052000,0,0,108,0,52774,20072,192.168.20.106,185.45.195.193,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,66.88888888888889,170,12568149.481481476,54,54.074074074074076,58,8213531.70370371,0.0,1.1197249074074074,5.804548,59.35966711540148,0.192788,0.4179236851851853,1.47265,22.150860150603144,eth:ethertype:ip:tcp:data,54,54
24,86631084.2837417,1126204095.688642000,0,0,12,0,443,33042,52.139.233.255,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,,,54,176.33333333333334,415,805835.0,54,1127.0,1494,31996394.000000004,0.0,6.359614500000002,37.121853,34.647130591843315,1.8e-05,7.745114833333333,45.912396,42.32088134093661,eth:ethertype:ip:tcp:tls,6,6
25,375401358.96263695,1126204076.887911000,0,0,2,0,34280,5871,192.168.20.106,41.73.107.102,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,2916.0,999999,0,0,0,0.0,24.746537,49.493074,34.996888247167604,9999,0,0,0,eth:ethertype:ip:tcp,2,0
26,1143354.416319863,1126204100.075065000,0,0,984,0,23450,55392,142.166.16.124,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,,,54,1373.6464646464647,11758,460473509102.245,54,58.82208588957055,171,823987338.2617518,-0.00017,0.09807872525252528,0.894532,48.45124047749643,3e-06,0.10404087934560333,3.785664,50.77348688497017,eth:ethertype:ip:tcp:data,495,489
27,1263977.6631866095,1126204097.899269000,0,0,890,0,55912,6881,192.168.20.106,213.89.151.209,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,72.18161434977578,183,1031747107.6434945,66,1467.331081081081,7266,422536605147.2674,0.0,0.12158400000000008,3.020729,54.1067251966015,-9.8e-05,0.09700620720720715,0.93042,42.97420034284888,eth:ethertype:ip:tcp:bittorrent,446,444
28,0.0,0.000000000,0,1,0,0,,,,,45:00:00:4e:92:04,fd:18:40:2f:08:00,,,92,92.0,92,0.0,92,92.0,92,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
29,1572910.7509073033,1126204097.649629000,0,0,715,0,55078,17872,192.168.20.106,94.70.12.59,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,63.671480144404335,185,308822111.84115535,54,1445.230593607306,8766,398875948189.0236,0.0,0.19603685920577626,3.652386,54.108869023754195,-2.9e-05,0.09748298630136987,1.224756,42.60052322395287,eth:ethertype:ip:tcp:data,277,438
30,281551006.8487247,1126204027.394899000,0,0,3,0,36360,9460,192.168.20.106,197.253.66.100,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,2916.0,58,58.0,58,0.0,0.0,9.5e-06,1.9e-05,1.3435028842544404e-05,0.596008,0.596008,0.596008,0.0,eth:ethertype:ip:tcp,2,1
31,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:a8:df,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
32,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:81:ce,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
33,5603005.400090214,1126204085.418133000,0,0,200,0,39520,443,192.168.20.106,172.217.19.10,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,209.67032967032966,1410,356165619.56043947,66,188.4678899082569,1484,414335933.522936,0.0,0.7145305274725267,31.505359,64.4122153635606,3e-06,0.05739584403669722,0.465582,6.199692140013054,eth:ethertype:ip:tcp,91,109
34,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:f4:a1,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
35,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:11:cd,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
36,160886297.18593714,1126204080.301560000,0,0,6,0,46850,5642,192.168.20.106,197.253.66.6,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,26244.0,58,58.0,58,3364.0,0.0,16.127989999999997,64.511917,55.86898379489983,0.341386,0.431963,0.52254,0.44135725472455983,eth:ethertype:ip:tcp,4,2
37,10934020.250953134,1126204085.848173000,0,0,102,0,49064,61786,192.168.20.106,110.159.154.17,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,65.43137254901961,160,10703350.980392167,54,54.15686274509804,58,7332415.058823524,0.0,0.8125301568627453,3.498106,40.639419115072315,0.09041,0.781113705882353,4.955343,39.06081798231538,eth:ethertype:ip:tcp:data,51,51
38,281551023.86205196,1126204095.448208000,0,0,3,0,46324,1,192.168.20.106,197.210.47.0,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,11664.0,999999,0,0,0,0.0,18.702208,37.546608,40.423488316007955,9999,0,0,0,eth:ethertype:ip:tcp,3,0
39,225240811.2815946,1126204056.407973000,0,0,4,0,42828,443,192.168.20.106,172.217.19.10,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,66.0,66,4356.0,66,66.0,66,4356.0,0.0,22.9740895,45.948179,32.49026895407332,0.131615,0.20982800000000001,0.288041,0.22393093344377413,eth:ethertype:ip:tcp,2,2
40,281551014.9553445,1126204059.821378000,0,0,3,0,45046,8062,192.168.20.106,197.253.66.48,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,2916.0,58,58.0,58,0.0,0.0,9.5e-06,1.9e-05,1.3435028842544404e-05,0.607068,0.607068,0.607068,0.0,eth:ethertype:ip:tcp,2,1
41,1455044.0569468075,1126204100.076829000,0,0,773,0,46349,45842,95.92.202.59,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,,,54,1451.2100456621004,8766,402183442379.3484,54,61.73134328358209,157,425113116.20298487,-7.3e-05,0.11507649543378995,1.189308,50.28877851452021,4e-06,0.14689642388059718,2.938908,49.06538994496502,eth:ethertype:ip:tcp:data,438,335
42,281551022.8487272,1126204091.394909000,0,0,3,0,60116,64064,192.168.20.106,197.210.47.96,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,11664.0,999999,0,0,0,0.0,24.746653,49.493183,53.45886143627124,9999,0,0,0,eth:ethertype:ip:tcp,3,0
43,1615787.8029408061,1126204098.649742000,0,0,696,0,51260,49117,192.168.20.106,84.71.13.181,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,63.19163763066202,215,326626606.3205564,54,1405.114914425428,5862,328658377587.7705,0.0,0.14283515679442513,4.737437,40.85345274561459,-4e-05,0.13639233251833738,1.524617,55.648609339629566,eth:ethertype:ip:tcp:data,287,409
44,281551010.26205575,1126204041.048223000,0,0,3,0,38898,5365,192.168.20.106,197.253.66.66,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,2916.0,58,58.0,58,0.0,0.0,1.05e-05,2.1e-05,1.4849242404917497e-05,0.519267,0.519267,0.519267,0.0,eth:ethertype:ip:tcp,2,1
45,375401362.37494105,1126204087.124823000,0,0,2,0,37932,10639,192.168.20.106,197.210.64.23,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,2916.0,999999,0,0,0,0.0,30.7182915,61.436583,43.442224452230164,9999,0,0,0,eth:ethertype:ip:tcp,2,0
46,187700683.28577802,1126204099.714668000,0,0,5,0,50958,23212,192.168.20.106,197.210.47.150,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,46656.0,999999,0,0,0,0.0,14.1226156,37.546534,58.03983585571444,9999,0,0,0,eth:ethertype:ip:tcp,5,0
47,187700683.35691798,1126204100.141508000,0,0,5,0,55916,58831,192.168.20.106,197.210.47.19,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,46656.0,999999,0,0,0,0.0,17.280682000000002,46.083489,71.01698835003316,9999,0,0,0,eth:ethertype:ip:tcp,5,0
48,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:73:5b,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
49,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:e4:b4,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
50,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:38:00,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
51,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:a6:5f,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
52,375401357.2548726,1126204071.764618000,0,0,2,0,42220,6881,192.168.20.106,89.86.85.193,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,72,72.0,72,5184.0,999999,0,0,0,0.0,34.984965,69.96993,49.47621198214805,9999,0,0,0,eth:ethertype:ip:tcp:bittorrent,2,0
53,0.0,0.000000000,0,1,0,0,,,,,45:00:00:6c:91:82,fd:18:40:2f:08:00,,,122,122.0,122,0.0,122,122.0,122,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
54,187700683.00136316,1126204098.008179000,0,0,5,0,55566,29788,192.168.20.106,197.210.47.92,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,46656.0,999999,0,0,0,0.0,19.242682000000002,51.200121,79.08121558285363,9999,0,0,0,eth:ethertype:ip:tcp,5,0
55,281551004.2887075,1126204017.154830000,0,0,3,0,54886,42929,192.168.20.106,197.253.66.103,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,2916.0,58,58.0,58,0.0,0.0,1.5e-05,3e-05,2.1213203435596424e-05,0.456807,0.456807,0.456807,0.0,eth:ethertype:ip:tcp,2,1
56,375401362.9449113,1126204088.834734000,0,0,2,0,38460,6881,192.168.20.106,120.23.255.137,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,122,122.0,122,14884.0,999999,0,0,0,0.0,13.6533915,27.306783,19.308811431689534,9999,0,0,0,eth:ethertype:ip:tcp:bittorrent,2,0
57,225240819.4736188,1126204097.368094000,0,0,4,0,49836,19751,192.168.20.106,197.210.47.143,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,26244.0,999999,0,0,0,0.0,11.94746,27.520019,37.25725511469505,9999,0,0,0,eth:ethertype:ip:tcp,4,0
58,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:e9:13,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
59,281551023.168727,1126204092.674908000,0,0,3,0,58646,61166,192.168.20.106,197.210.47.106,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,11664.0,999999,0,0,0,0.0,24.604490666666667,49.493143,53.19610968038131,9999,0,0,0,eth:ethertype:ip:tcp,3,0
60,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:ff:26,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
61,281551024.18203974,1126204096.728159000,0,0,3,0,59452,51413,192.168.20.106,197.210.47.3,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,11664.0,999999,0,0,0,0.0,24.817779,49.489835,53.590171956142605,9999,0,0,0,eth:ethertype:ip:tcp,3,0
62,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:4c:97,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
63,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:7a:60,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
64,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:13:6a,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
65,281551013.67531526,1126204054.701261000,0,0,3,0,34150,8118,192.168.20.106,197.253.66.18,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,2916.0,58,58.0,58,0.0,0.0,7e-06,1.4e-05,9.899494936611665e-06,0.412592,0.412592,0.412592,0.0,eth:ethertype:ip:tcp,2,1
66,1566347.842701178,1126204098.902147000,0,0,718,0,11876,47098,47.55.198.118,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,,,54,1408.2528216704288,8766,387442043570.0199,54,61.32727272727273,171,282363586.8290913,-6.2e-05,0.10280875620767484,0.804982,45.44186229919402,7e-06,0.19166801454545446,2.623718,52.51916833812553,eth:ethertype:ip:tcp:data,443,275
67,1220156.1205319436,1126204099.250984000,0,0,922,0,6881,48292,82.164.160.214,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,,,54,1425.7044025157234,9191,460546533008.0559,54,58.024719101123594,157,663730980.7505643,-9.2e-05,0.1253127274633123,1.218515,59.649302101658655,4e-06,0.08795126292134829,3.70876,39.051807121955385,eth:ethertype:ip:tcp:bittorrent,477,445
68,281551003.435322,1126204013.741288000,0,0,3,0,36574,5118,192.168.20.106,197.253.66.60,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,2916.0,58,58.0,58,0.0,0.0,9e-06,1.8e-05,1.2727922061357856e-05,0.686488,0.686488,0.686488,0.0,eth:ethertype:ip:tcp,2,1
69,281551023.91532725,1126204095.661309000,0,0,3,0,46654,42929,192.168.20.106,197.253.66.44,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,2916.0,58,58.0,58,0.0,0.0,3e-06,6e-06,4.242640687119286e-06,0.301554,0.301554,0.301554,0.0,eth:ethertype:ip:tcp,2,1
70,375401361.8071224,1126204085.421367000,0,0,2,0,46114,6881,192.168.20.106,77.219.8.128,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,2916.0,999999,0,0,0,0.0,14.50661,29.01322,20.515444606057166,9999,0,0,0,eth:ethertype:ip:tcp,2,0
71,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:31:9a,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
72,281551022.95533824,1126204091.821353000,0,0,3,0,57948,10273,192.168.20.106,41.73.107.248,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,11664.0,999999,0,0,0,0.0,24.888847666666667,49.493225,53.72264545360302,9999,0,0,0,eth:ethertype:ip:tcp,3,0
73,187700683.24971116,1126204099.498267000,0,0,5,0,46712,2628,192.168.20.106,197.210.47.161,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,46656.0,999999,0,0,0,0.0,13.7380024,35.839836,56.42100731174159,9999,0,0,0,eth:ethertype:ip:tcp,5,0
74,0.0,0.000000000,0,1,0,0,,,,,45:00:00:6c:f7:54,fd:18:40:2f:08:00,,,122,122.0,122,0.0,122,122.0,122,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
75,225240819.7289764,1126204098.644882000,0,0,4,0,57472,59107,192.168.20.106,46.97.169.143,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,26244.0,999999,0,0,0,0.0,17.3858365,39.252908,54.150309196913106,9999,0,0,0,eth:ethertype:ip:tcp,4,0
76,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:a8:56,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
77,9009632.79119072,1126204098.898840000,0,0,124,0,56762,6882,192.168.20.106,177.149.113.237,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,59.0,146,10530197.5,54,1442.0588235294117,4410,9335428232.323519,0.0,0.06714360714285714,1.843761,3.705181621533166,-4.4e-05,0.11358170588235295,1.242867,7.613723597889219,eth:ethertype:ip:tcp:bittorrent,56,68
78,10145982.755389657,1126204085.848252000,0,0,110,0,59774,6881,192.168.20.106,104.244.71.24,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,66.41818181818182,164,12863860.909090921,54,61.945454545454545,479,11192613.490909075,0.0,0.9734484545454548,7.136475,52.5844876188889,0.322587,0.5542174181818181,1.226667,29.928268620160296,eth:ethertype:ip:tcp:bittorrent,55,55
79,1137579.8988880476,1126204099.899167000,0,0,989,0,41990,6881,192.168.20.106,90.194.163.103,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,58.440816326530616,245,816677022.4571477,54,1296.809619238477,6671,417072426440.3051,0.0,0.1138633346938775,3.215627,55.680914597222646,4.8e-05,0.08599471943887776,0.877149,42.82564323046149,eth:ethertype:ip:tcp:bittorrent,490,499
80,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:7f:cd,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
81,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:76:20,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
82,281551023.542037,1126204094.168148000,0,0,3,0,37912,6881,192.168.20.106,197.210.47.37,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,11664.0,999999,0,0,0,0.0,18.844407,37.546589,40.68678580273611,9999,0,0,0,eth:ethertype:ip:tcp,3,0
83,281551023.86202395,1126204095.448096000,0,0,3,0,59856,24874,192.168.20.106,90.137.139.124,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,11664.0,999999,0,0,0,0.0,19.839942333333333,39.253208,42.79470368356483,9999,0,0,0,eth:ethertype:ip:tcp,3,0
84,1226801.8519355424,1126204100.076828000,0,0,917,0,17436,45948,85.101.2.49,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,,,54,1305.6743697478992,5862,384642658310.29913,54,61.49886621315193,158,732216722.1723367,-6.4e-05,0.1220800168067227,1.260112,57.98840085663191,3e-06,0.09007299546485267,2.513161,39.633479387421445,eth:ethertype:ip:tcp:data,476,441
85,1670925.9612741573,1126204097.898782000,0,0,673,0,32802,23646,192.168.20.106,81.140.178.191,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,61.573122529644266,185,240759690.33992007,54,1452.7642857142857,13122,370526725354.5658,0.0,0.19795911462450602,4.678145,49.888673140541876,-2e-05,0.10246384047619046,0.82068,42.93269265773292,eth:ethertype:ip:tcp:data,253,420
86,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:71:07,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
87,375401359.5316227,1126204078.594868000,0,0,2,0,60428,22200,192.168.20.106,113.199.201.213,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,84,84.0,84,7056.0,999999,0,0,0,0.0,24.746659,49.493318,34.99706078122222,9999,0,0,0,eth:ethertype:ip:tcp:data,2,0
88,281551013.675348,1126204054.701392000,0,0,3,0,60490,11608,192.168.20.106,197.253.66.203,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,2916.0,58,58.0,58,0.0,0.0,2e-06,4e-06,2.82842712474619e-06,0.442197,0.442197,0.442197,0.0,eth:ethertype:ip:tcp,2,1
89,225240819.90032157,1126204099.501608000,0,0,4,0,50176,12808,192.168.20.106,90.131.42.226,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,54.0,54,26244.0,999999,0,0,0,0.0,12.90667725,29.01309,40.189821311278635,9999,0,0,0,eth:ethertype:ip:tcp,4,0
